OVG;motief11;hfdvm2;waarde_modal_split;verplaatsingen;MeetType;DagType
71;diensten (bv. dokter, bank);metro;0,000236506686054294;2;in aantal km per dag;alle dagen
71;diensten (bv. dokter, bank);niet-elektrische fiets;0,0278602875363295;252;in aantal km per dag;alle dagen
71;diensten (bv. dokter, bank);speed pedelec;0,00556831875470783;12;in aantal km per dag;alle dagen
71;diensten (bv. dokter, bank);taxi of vergelijkbaar;0,00311977142849793;2;in aantal km per dag;alle dagen
71;diensten (bv. dokter, bank);te voet;0,0103946064788036;371;in aantal km per dag;alle dagen
71;diensten (bv. dokter, bank);tram;0,00450524608311415;12;in aantal km per dag;alle dagen
71;diensten (bv. dokter, bank);trein;0,0173946794259807;19;in aantal km per dag;alle dagen
71;geen antwoord;autobestuurder;0,017373675787192;20;in aantal km per dag;alle dagen
71;geen antwoord;autopassagier +18;0,00245394564911114;8;in aantal km per dag;alle dagen
71;geen antwoord;elektrische fiets;0,000942450955159577;3;in aantal km per dag;alle dagen
71;geen antwoord;elektrische step/monowheel/hoverboard;4,3446185725938e-05;1;in aantal km per dag;alle dagen
71;geen antwoord;lijnbus;0,000364373284602836;1;in aantal km per dag;alle dagen
71;geen antwoord;niet-elektrische fiets;0,000776736724369432;3;in aantal km per dag;alle dagen
71;geen antwoord;te voet;0,000992723277956665;15;in aantal km per dag;alle dagen
71;geen antwoord;trein;0,00015037973296524;1;in aantal km per dag;alle dagen
71;iemand bezoeken;anders;0,00611927059099218;18;in aantal km per dag;alle dagen
71;iemand bezoeken;autobestuurder;1,94147306637458;3098;in aantal km per dag;alle dagen
71;iemand bezoeken;autopassagier +18;0,680609342125725;941;in aantal km per dag;alle dagen
71;iemand bezoeken;autopassagier -18;0,29346251782768;624;in aantal km per dag;alle dagen
71;iemand bezoeken;brom-/snorfiets of motor;0,0134760986297294;23;in aantal km per dag;alle dagen
71;iemand bezoeken;elektrische fiets;0,0958834505504574;476;in aantal km per dag;alle dagen
71;iemand bezoeken;elektrische step/monowheel/hoverboard;0,00115773612909608;6;in aantal km per dag;alle dagen
71;iemand bezoeken;lijnbus;0,0472909022241034;77;in aantal km per dag;alle dagen
71;iemand bezoeken;metro;0,000328303918028193;3;in aantal km per dag;alle dagen
71;iemand bezoeken;niet-elektrische fiets;0,0804117832124195;649;in aantal km per dag;alle dagen
71;iemand bezoeken;speed pedelec;0,00306123238050362;14;in aantal km per dag;alle dagen
71;iemand bezoeken;taxi of vergelijkbaar;0,00058782814901075;4;in aantal km per dag;alle dagen
71;iemand bezoeken;te voet;0,0234116675390933;792;in aantal km per dag;alle dagen
71;iemand bezoeken;tram;0,0182364076907871;42;in aantal km per dag;alle dagen
71;iemand bezoeken;trein;0,189067370940586;93;in aantal km per dag;alle dagen
71;iets anders;anders;0,0444611211152382;23;in aantal km per dag;alle dagen
71;iets anders;autobestuurder;0,947393589347856;1092;in aantal km per dag;alle dagen
71;iets anders;autopassagier +18;0,419415912902178;373;in aantal km per dag;alle dagen
71;iets anders;autopassagier -18;0,111953623189527;197;in aantal km per dag;alle dagen
71;iets anders;brom-/snorfiets of motor;0,000351086781779395;2;in aantal km per dag;alle dagen
71;iets anders;elektrische fiets;0,0315357049701301;160;in aantal km per dag;alle dagen
71;iets anders;elektrische step/monowheel/hoverboard;0,00102076824743799;3;in aantal km per dag;alle dagen
71;iets anders;lijnbus;0,0587291387227162;116;in aantal km per dag;alle dagen
71;iets anders;metro;0,0016819173289798;2;in aantal km per dag;alle dagen
71;iets anders;niet-elektrische fiets;0,0441751658870504;257;in aantal km per dag;alle dagen
71;iets anders;speed pedelec;0,00911107893899695;19;in aantal km per dag;alle dagen
71;iets anders;taxi of vergelijkbaar;0,00243692022721379;4;in aantal km per dag;alle dagen
71;iets anders;te voet;0,0176166466787727;520;in aantal km per dag;alle dagen
71;iets anders;tram;0,00511621585382524;23;in aantal km per dag;alle dagen
71;iets anders;trein;0,350639692269237;166;in aantal km per dag;alle dagen
71;iets/iemand wegbrengen/afhalen;anders;0,0294333396773058;21;in aantal km per dag;alle dagen
71;iets/iemand wegbrengen/afhalen;autobestuurder;2,27468076762977;5596;in aantal km per dag;alle dagen
71;iets/iemand wegbrengen/afhalen;autopassagier +18;0,251723374785904;540;in aantal km per dag;alle dagen
71;iets/iemand wegbrengen/afhalen;autopassagier -18;0,0984636284008332;296;in aantal km per dag;alle dagen
71;iets/iemand wegbrengen/afhalen;brom-/snorfiets of motor;0,00495011174092676;18;in aantal km per dag;alle dagen
71;iets/iemand wegbrengen/afhalen;elektrische fiets;0,0567782098709286;533;in aantal km per dag;alle dagen
71;iets/iemand wegbrengen/afhalen;elektrische step/monowheel/hoverboard;0,000453842936947338;2;in aantal km per dag;alle dagen
71;iets/iemand wegbrengen/afhalen;lijnbus;0,0214391576336717;43;in aantal km per dag;alle dagen
71;iets/iemand wegbrengen/afhalen;niet-elektrische fiets;0,0406838962129664;479;in aantal km per dag;alle dagen
71;iets/iemand wegbrengen/afhalen;speed pedelec;0,00173871863059146;17;in aantal km per dag;alle dagen
71;iets/iemand wegbrengen/afhalen;taxi of vergelijkbaar;0,000550675234985569;3;in aantal km per dag;alle dagen
71;iets/iemand wegbrengen/afhalen;te voet;0,0214877745160296;806;in aantal km per dag;alle dagen
71;iets/iemand wegbrengen/afhalen;tram;0,00397284013814489;9;in aantal km per dag;alle dagen
71;iets/iemand wegbrengen/afhalen;trein;0,0411717791702171;25;in aantal km per dag;alle dagen
71;onderwijs volgen;anders;0,00991075403733007;52;in aantal km per dag;alle dagen
71;onderwijs volgen;autobestuurder;0,208792828201631;257;in aantal km per dag;alle dagen
71;onderwijs volgen;autopassagier +18;0,0377582243888087;84;in aantal km per dag;alle dagen
71;onderwijs volgen;autopassagier -18;0,200832298200953;1098;in aantal km per dag;alle dagen
71;onderwijs volgen;brom-/snorfiets of motor;0,00918827223903878;35;in aantal km per dag;alle dagen
71;onderwijs volgen;elektrische fiets;0,0402094486661929;215;in aantal km per dag;alle dagen
71;onderwijs volgen;elektrische step/monowheel/hoverboard;0,00190605488954699;11;in aantal km per dag;alle dagen
71;onderwijs volgen;lijnbus;0,241398135795728;566;in aantal km per dag;alle dagen
71;onderwijs volgen;metro;0,00793448115412607;10;in aantal km per dag;alle dagen
71;onderwijs volgen;niet-elektrische fiets;0,183397327181028;1640;in aantal km per dag;alle dagen
71;onderwijs volgen;speed pedelec;0,00264021359295604;12;in aantal km per dag;alle dagen
71;onderwijs volgen;taxi of vergelijkbaar;0,000260281864976785;2;in aantal km per dag;alle dagen
71;onderwijs volgen;te voet;0,0251534376173168;815;in aantal km per dag;alle dagen
71;onderwijs volgen;tram;0,0224343948085149;66;in aantal km per dag;alle dagen
71;onderwijs volgen;trein;0,334378909429286;279;in aantal km per dag;alle dagen
71;ontspanning, sport, cultuur;anders;0,0390610991314657;63;in aantal km per dag;alle dagen
